target,text,clean_text
0,@chrishasboobs AHHH I HOPE YOUR OK!!! ,ahhh i hope your ok
0,"@misstoriblack cool , i have no tweet apps  for my razr 2",cool i have no tweet apps for my razr
0,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",i know just family drama its lamehey next time u hang out with kim n u guys like have a sleepover or whatever ill call u
0,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,school email wont open and i have geography stuff on there to revise stupid school
0,upper airways problem ,upper airways problem
0,Going to miss Pastor's sermon on Faith... ,going to miss pastors sermon on faith
1,on lunch....dj should come eat with me ,on lunchdj should come eat with me
0,@piginthepoke oh why are you feeling like that? ,oh why are you feeling like that
0,gahh noo!peyton needs to live!this is horrible ,gahh noopeyton needs to livethis is horrible
1,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,thank you glad you like it there is a product review bit on the site enjoy knitting it
1,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,zach makes me pee sitting down and im a grown gay man
1,to sum up my day in one word ......... kackered! ,to sum up my day in one word kackered
1,@k9wkj Great minds think alike ,great minds think alike
0,Is Poorly and in bed! ,is poorly and in bed
1,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",oh thats really great here we have a small blizzard and also cold wind blows
1,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",lol calm down i got a day loan offer for only
1,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",im feeling quite sleepy today wish i could stay in bed todaybut ok is my last year so lets go to school
0,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,yeah mathieu totally choked in the rd set to let rog win as well djokovic played terribly
0,"ugh, morning's off to a rough start ",ugh mornings off to a rough start
0,just bit my tongue ,just bit my tongue
0,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,apparently you dont have time for ur fans
1,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,whaddup whaddup whaddup whaddup whaddup i got white girl swag from my head to my shoes whaddup
1,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",id be willing to pay thus covering the cost of the set for one of them but if youve got a counter offer ill listen
1,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,working on photos from hillsongs year celebration stay tuned
0,"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",babys chicken pox are soo bad on the face i am afraid she might have scars
0,i don't feel good ,i dont feel good
1,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,ha ha i want to see pictures from when you were a minister boobie flahses
0,This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,this day will pass slowly all of these days will rawr
0,my car is poorly ,my car is poorly
1,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,im turning one week from now but i dont feel excited i really dont know why ive seen my friends they got excited but on my part
1,No woooooork tomorrrow&amp;tuesday ,no woooooork tomorrrowamptuesday
0,Flatmates are still in the bathroom! ARGGH!! ,flatmates are still in the bathroom arggh
0,I'm having an allergic reaction to silver earings ,im having an allergic reaction to silver earings
0,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",i am ill admit maybe ill feel better tomorrow yo down studio time
0,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",going back to sleep is such a great idea unfortunately im already at work notebookless
0,what is with msn making me click the wrong people. garrrrr ,what is with msn making me click the wrong people garrrrr
0,Too full of fizz but not enough cider ,too full of fizz but not enough cider
1,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,how to get your ex back worked for me
0,Time to sleep... Long day again tomorrow ,time to sleep long day again tomorrow
1,Hahaha blakk is reckkkin it. :p throwwwwwed. ,hahaha blakk is reckkkin it p thro
1,Cubs game today! My first ever ,cubs game today my first ever
1,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,hi sounds like youre feeling a bit betterthats great you have a great day
1,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,lol leave a kid on internet and the kid will do stupid things
1,eating cha with eric ,eating cha with eric
1,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",on a good note we did meet at marty richards red ball a few years ago you were so sweet to me ill never forget it
0,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,my hands are officially tied i dont think ill have time for anything anymore this includes the california meet
1,"@Konstantine I said &quot;scar,&quot; sweetie. ",i said quotscarquot sweetie
0,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,it was supposed to go live on tv but it didnt happened in the end that would have been cool being on the bbc
1,FCK-Brï¿½ndby 4-0! ,fckbrï½ndby
0,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,jealous im yet to find a local chinese im satisfied with
1,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,there r a few of us local yocals around happy to find u on twitter day
1,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",just back from supercheap a most successful trip the bikes are tanked amp checked for the week so all ready to start relaxing
0,@ElleChanel want to shoot...but i'm not in charlotte .. ,want to shootbut im not in charlotte
1,@sephrenia1982 good work ,good work
1,@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,welcome new cd out this weekmaybe even tomorrow
0,@CatholicChicks hate bein on the phone that long ,hate bein on the phone that long
1,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",if anyone wanted to attend tedmed but cant make the date ill happily take your place and will liveblog it for you too
1,@melbgirl It means the same to us!  #GoCats,it means the same to us
0,"beach this morning,bbq this afternoon. Back to school/work 2morro ",beach this morningbbq this afternoon back to schoolwork morro
1,@joshlam and you are how old?? REALLY?!? ,and you are how old really
0,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,siteowner custom search box fail quotmarketquotquotenauquot does nothing it still targets us search should be quotonly from australiaquot
1,Watched Crank 2.... awesome ,watched crank awesome
1,@TheUncoolest ,
1,Night in with the rock star...  ,night in with the rock star
1,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,dont really have a reason haha sounds stupid ill be
1,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,first night in myers just not the same wout lydia but im actually excited about this summer
0,"my tooth is sving, and I cannot see my dentist for a week ",my tooth is sving and i cannot see my dentist for a week
0,cant sleep got heartburn really bad ,cant sleep got heartburn really bad
1,Off to Whipsnade  Hope it's dry,off to whipsnade hope its dry
0,Going To Bed ...My Ankle Hurts ,going to bed my ankle hurts
0,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay
0,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,i shame the name of female lol alright shower then sleep then get up in like hours
1,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",fine kinders coughing again so not a lot of sleep weathers good though thats the main thing
1,Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,listening to the nutcracker who says its only a christmas thing
1,"i miss him, i cant wait to see him, im happy ",i miss him i cant wait to see him im happy
0,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,are you missing me im missing my tuesday nights of
1,"@mithss mourniiiiiiing eh, morniiing!!! ",mourniiiiiiing eh morniiing
1,@pamelaong Glad the blog helped ,glad the blog helped
1,Awesome pumpkin! Your famous ,awesome pumpkin your famous
0,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",sadly ive never seen a single episode i know im fired right
1,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,haha i will oo hows you long time no reply
0,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",a good luck paula please dont work too hard but i hope you have fun your new album is gonna be amazing xxx
1,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,seattle pride will be june th at am come out and support your community march with the marriage equality contingent
1,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",seriosuly the second one quotsince im already a mid class dude and would work for foodquot
0,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,at schoollistining to die ãrzte westerlandgreat song reallybtw im so tiredi sleeped between and thats bad
0,I am so hungry  I hate not eating breakfast!,i am so hungry i hate not eating breakfast
0,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,ewww if i work at fazolis i have to year a viserand ugly shoesand a pony tailand no nail polish
1,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,no its full of win and i luv it lt ive been meaning to catch up to where its at now for ages now i have
0,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,oft as finished as i can be can i relax and be on holiday now i think ive missed the acceptable slot for lunch
1,@ItsNeet 100%.. its like getting an A for all your classes.. ,its like getting an a for all your classes
